#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device_id,sensor_type,unit
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-16T03:00:00Z,22.22646118030496,value,sensor_data,esp32-01,ambient_temp,°C
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-17T01:00:00Z,0,value,sensor_data,esp32-01,ambient_temp,°C
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-18T22:00:00Z,9.236404715127698,value,sensor_data,esp32-01,ambient_temp,°C
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-18T23:00:00Z,22.376864406779656,value,sensor_data,esp32-01,ambient_temp,°C
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T22:00:00Z,18.37401937046005,value,sensor_data,esp32-01,ambient_temp,°C
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T23:00:00Z,18.63731368186871,value,sensor_data,esp32-01,ambient_temp,°C
,,0,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-22T00:00:00Z,18.07134199134198,value,sensor_data,esp32-01,ambient_temp,°C
,,1,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T22:00:00Z,18.3144,value,sensor_data,esp32-01,ambient_temp_outside,°C
,,1,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T23:00:00Z,18.841312569521705,value,sensor_data,esp32-01,ambient_temp_outside,°C
,,1,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-22T00:00:00Z,18.217965367965387,value,sensor_data,esp32-01,ambient_temp_outside,°C
,,2,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-18T22:00:00Z,21.309619047619044,value,sensor_data,esp32-01,coil_temp,°C
,,2,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-18T23:00:00Z,21.469830508474566,value,sensor_data,esp32-01,coil_temp,°C
,,3,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T22:00:00Z,21.619600000000002,value,sensor_data,esp32-01,coil_temp_top,°C
,,3,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T23:00:00Z,20.42250278086765,value,sensor_data,esp32-01,coil_temp_top,°C
,,3,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-22T00:00:00Z,18.92056277056278,value,sensor_data,esp32-01,coil_temp_top,°C
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-16T03:00:00Z,48.449913630543605,value,sensor_data,esp32-01,humidity,%
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-17T01:00:00Z,0,value,sensor_data,esp32-01,humidity,%
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-18T22:00:00Z,14.672946954813357,value,sensor_data,esp32-01,humidity,%
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-18T23:00:00Z,35.560254237288135,value,sensor_data,esp32-01,humidity,%
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T22:00:00Z,52.99641646489103,value,sensor_data,esp32-01,humidity,%
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T23:00:00Z,53.79778086763073,value,sensor_data,esp32-01,humidity,%
,,4,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-22T00:00:00Z,59.08974025974024,value,sensor_data,esp32-01,humidity,%
,,5,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T22:00:00Z,54.5844,value,sensor_data,esp32-01,humidity_outside,%
,,5,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T23:00:00Z,54.917786429365975,value,sensor_data,esp32-01,humidity_outside,%
,,5,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-22T00:00:00Z,60.92965367965364,value,sensor_data,esp32-01,humidity_outside,%
,,6,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T22:00:00Z,513.6081355932203,value,sensor_data,esp32-01,water_produced,g
,,6,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-21T23:00:00Z,443.35507786429343,value,sensor_data,esp32-01,water_produced,g
,,6,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-22T00:00:00Z,426.8793939393939,value,sensor_data,esp32-01,water_produced,g
,,7,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-17T00:00:00Z,25.3000000000001,value,sensor_data,esp32_1,coil_temp,°C
,,8,2026-03-28T00:09:08.914592025Z,2026-04-27T00:09:08.914592025Z,2026-04-17T00:00:00Z,60,value,sensor_data,esp32_1,humidity,%

